,ig_oas_pct,hy_oas_pct,nfci,fed_assets_musd,tga_musd,on_rrp_musd,reserves_musd,m2_busd,gdp_busd_saar,ecb_assets_meur,boj_assets_100m_yen,net_liquidity_musd,m2_gdp_ratio,d_netliq_1w,d_netliq_4w,d_netliq_13w,d_reserves_1w,d_reserves_4w,d_reserves_13w,d_fed_assets_1w,d_fed_assets_4w,d_fed_assets_13w,d_tga_1w,d_tga_4w,d_tga_13w,d_rrp_1w,d_rrp_4w,d_rrp_13w,d_ecb_assets_1w,d_ecb_assets_4w,d_ecb_assets_13w,d_boj_assets_1w,d_boj_assets_4w,d_boj_assets_13w,d_ig_oas_1w,d_ig_oas_4w,d_ig_oas_13w,d_hy_oas_1w,d_hy_oas_4w,d_hy_oas_13w,d_nfci_1w,d_nfci_4w,d_nfci_13w,d_m2gdp_1w,d_m2gdp_4w,d_m2gdp_13w,z_netliq_4w,z_reserves_4w,z_global_cb_4w,z_m2_gdp,z_hy_oas,z_ig_oas,z_nfci,LiquidityScore,LiquidityImpulse_4w,LiquidityImpulse_13w
2024-05-29,0.88,3.15,-0.41473,7284319.0,704335.0,459314.0,3409342.0,20989.5,29147.044,6577697.0,7610851.0,6120670.0,0.7201244832923709,42862.0,113521.0,-91461.0,18548.0,156609.0,-158210.0,-15247.0,-78155.0,-283488.0,-21041.0,-212842.0,-81486.0,-37068.0,21166.0,-110541.0,15268.0,-21163.0,-253243.0,0.0,0.0,6544.0,-0.010000000000000009,-0.030000000000000027,-0.09999999999999998,0.040000000000000036,-0.06000000000000005,-0.16000000000000014,0.0004899999999999904,-0.0008900000000000019,0.013180000000000025,0.0,0.0,-0.006539965886383614,0.7206288669158007,0.915951360231876,0.1176372071365473,-1.1140412561557655,1.4716372017158659,1.6767015627703308,1.2356531375864146,0.700255088312357,0.999193710743175,0.17428139622294458
2024-06-05,0.91,3.2,-0.41134,7255687.0,710309.0,371841.0,3408310.0,21053.0,29147.044,6560665.0,7536709.0,6173537.0,0.7223030918675664,52867.0,165147.0,-140740.0,-1032.0,77154.0,-217866.0,-28632.0,-97721.0,-283170.0,5974.0,-141282.0,-57424.0,-87473.0,-121586.0,-85006.0,-17032.0,-21405.0,-259304.0,-74142.0,-74142.0,-27522.0,0.030000000000000027,0.020000000000000018,-0.09999999999999998,0.050000000000000266,0.10000000000000009,-0.06999999999999984,0.003390000000000004,0.0024800000000000377,0.02289000000000002,0.002178608575195473,0.002178608575195473,-0.005744239342537982,1.05538662411729,0.3795352238195362,-0.4860544091109452,-0.9861722032388115,1.353275758894823,1.485109065928913,1.1757497353145088,0.6461032163253223,1.0608517986581387,0.22847167950048042
2024-06-12,0.9,3.09,-0.40574,7258974.0,673573.0,447574.0,3455134.0,21053.0,29147.044,6541633.0,7536709.0,6137827.0,0.7223030918675664,-35710.0,64467.0,-114035.0,46824.0,85387.0,-169499.0,3287.0,-45298.0,-282995.0,-36736.0,-113560.0,-94796.0,75733.0,3795.0,-74164.00000000006,-19032.0,-39321.0,-271556.0,0.0,-74142.0,-27522.0,-0.010000000000000009,0.0,-0.04999999999999993,-0.11000000000000032,-0.040000000000000036,-0.06000000000000005,0.005599999999999994,0.008970000000000034,0.03209000000000001,0.0,0.002178608575195473,-0.005744239342537982,0.3688975122847764,0.431533755260158,-0.5481192059018631,-0.9734541304191846,1.5204073933581335,1.504231844356024,1.092677645597453,0.4258223866176847,0.3676555512327173,-0.07125617531339057
2024-06-19,0.96,3.24,-0.39864,7252542.0,723410.0,375542.0,3434274.0,21053.0,29147.044,6534521.0,7536709.0,6153590.0,0.7223030918675664,15763.0,75782.0,-55215.0,-20860.0,43480.0,-119150.0,-6432.0,-47024.0,-261806.0,49837.0,-1966.0,-85888.0,-72032.0,-120840.0,-120703.0,-7112.0,-27908.0,-281073.0,0.0,-74142.0,-27522.0,0.05999999999999994,0.06999999999999995,0.039999999999999925,0.15000000000000036,0.13000000000000034,0.10000000000000009,0.007099999999999995,0.016579999999999984,0.040580000000000005,0.0,0.002178608575195473,-0.005744239342537982,0.4425134707660952,0.1458901710433582,-0.4863091715860153,-0.9612157500715242,1.2277741459297573,1.1734763630876968,0.9949067894871944,0.35165987880000743,-0.2038312972877358,0.007377774100589041
2024-06-26,0.97,3.18,-0.39103,7231163.0,765417.0,490156.0,3302647.0,21053.0,29147.044,6536817.0,7536709.0,5975590.0,0.7223030918675664,-178000.0,-145080.0,-188559.0,-131627.0,-106695.0,-193474.0,-21379.0,-53156.0,-253576.0,42007.0,61082.0,-36816.0,114614.0,30842.0,-28201.0,2296.0,-40880.0,-273143.0,0.0,-74142.0,-27522.0,0.010000000000000009,0.08999999999999997,0.030000000000000027,-0.06000000000000005,0.03000000000000025,0.03000000000000025,0.007610000000000006,0.0237,0.04622999999999999,0.0,0.002178608575195473,-0.005744239342537982,-1.0589147170813584,-0.8704082861450628,-0.5296689846735055,-0.9494276465176794,1.3127185265317491,1.1054850820026878,0.893729487306369,-0.27991133040042593,-0.980166418712783,-0.4719971651408488
2024-07-03,0.93,3.25,-0.38452,7221520.0,761373.0,425898.0,3184180.0,21084.1,29511.664,6522003.0,7617141.0,6034249.0,0.7144327747835567,58659.0,-139288.0,-200027.0,-118467.0,-224130.0,-230108.0,-9643.0,-34167.0,-218038.0,-4044.0,51064.0,-7278.0,-64258.0,54057.0,-10733.0,-14814.0,-38662.0,-97686.0,80432.0,80432.0,33942.0,-0.039999999999999925,0.020000000000000018,0.010000000000000009,0.06999999999999984,0.04999999999999982,0.020000000000000018,0.006510000000000016,0.02682000000000001,0.04810000000000003,-0.007870317084009648,-0.007870317084009648,-0.003616026322997956,-1.0054153833360115,-1.633190155602606,0.7199173829587637,-1.3397756117920057,1.168866480466984,1.290429321789514,0.8074800735997663,-0.1964574455342634,-0.8425606618595857,-0.09855739672420227
2024-07-10,0.92,3.17,-0.37938,7224079.0,736402.0,422147.0,3341977.0,21084.1,29511.664,6497699.0,7617141.0,6065530.0,0.7144327747835567,31281.0,-72297.0,-221859.0,157797.0,-113157.0,-244868.0,2559.0,-34895.0,-214097.0,-24971.0,62829.0,31431.0,-3751.0,-25427.0,-23669.0,-24304.0,-43934.0,-87650.0,0.0,80432.0,33942.0,-0.010000000000000009,0.020000000000000018,0.030000000000000027,-0.08000000000000007,0.08000000000000007,0.06999999999999984,0.005139999999999978,0.026359999999999995,0.04769000000000001,0.0,-0.007870317084009648,-0.003616026322997956,-0.5411477792985032,-0.8717320098287519,0.6877979739181372,-1.3166860633213031,1.2904006369236514,1.3188436065999674,0.738771804388756,0.0573092124362212,-0.36851317418146345,-0.2623824211170255
2024-07-17,0.93,3.09,-0.374,7208247.0,751593.0,399401.0,3331425.0,21084.1,29511.664,6494463.0,7617141.0,6057253.0,0.7144327747835567,-8277.0,-96337.0,-111210.0,-10552.0,-102849.0,-191292.0,-15832.0,-44295.0,-197259.0,15191.0,28183.0,-44942.0,-22746.0,23859.0,-41107.0,-3236.0,-40058.0,-102206.0,0.0,80432.0,33942.0,0.010000000000000009,-0.029999999999999916,-0.019999999999999907,-0.08000000000000007,-0.15000000000000036,-0.33000000000000007,0.005379999999999996,0.024639999999999995,0.047109999999999985,0.0,-0.007870317084009648,-0.003616026322997956,-0.6999782325149032,-0.7933202333471132,0.6959476317711055,-1.2947505610088206,1.406752258497794,1.2473441516341046,0.6682250903574878,0.019751192405810282,-0.3319086863941971,0.009182931975885704
2024-07-24,0.96,3.1,-0.36905,7205455.0,774315.0,399121.0,3308580.0,21084.1,29511.664,6478323.0,7617141.0,6032019.0,0.7144327747835567,-25234.0,56429.0,12230.0,-22845.0,5933.0,-15783.0,-2792.0,-25708.0,-196979.0,22722.0,8898.0,-167115.0,-280.0,-91035.0,-42094.0,-16140.0,-58494.0,-114838.0,0.0,80432.0,33942.0,0.029999999999999916,-0.010000000000000009,0.039999999999999925,0.010000000000000231,-0.08000000000000007,-0.08999999999999986,0.00495000000000001,0.02198,0.04688000000000003,0.0,-0.007870317084009648,-0.003616026322997956,0.3539081698447611,-0.053732358560673904,0.6065535578414791,-1.273876066233091,1.3645405288075496,1.0793366141138279,0.6035981535688748,0.4248846990534707,0.7047960294538966,0.680096935085801
2024-07-31,0.97,3.25,-0.36524,7178391.0,786486.0,413200.0,3293519.0,21084.1,29511.664,6475497.0,7617141.0,5978705.0,0.7144327747835567,-53314.0,-55544.0,-28444.0,-15061.0,109339.0,40786.0,-27064.0,-43129.0,-184083.0,12171.0,25113.0,-130691.0,14079.0,-12698.0,-24948.0,-2826.0,-46506.0,-123363.0,0.0,0.0,6290.0,0.010000000000000009,0.039999999999999925,0.05999999999999994,0.1499999999999999,0.0,0.040000000000000036,0.00380999999999998,0.019279999999999964,0.04859999999999998,0.0,0.0,-0.005691708508814175,-0.4216505134409093,0.6476111768366765,0.012890990572440864,-1.25397971374795,1.0851235613322538,1.0155755855871447,0.5531790181975615,0.08570415885885115,0.28216160439311455,0.3846427812896691
