Date,Open,High,Low,Close
09/17/2025,"3.974%","3.980%","3.946%","3.967%"
09/16/2025,"3.949%","4.016%","3.949%","3.974%"
09/15/2025,"3.996%","4.013%","3.941%","3.949%"
09/12/2025,"3.938%","3.999%","3.925%","3.996%"
09/11/2025,"3.942%","3.972%","3.913%","3.938%"
09/10/2025,"3.924%","3.983%","3.906%","3.942%"
09/09/2025,"3.885%","3.944%","3.885%","3.924%"
09/08/2025,"3.917%","3.947%","3.878%","3.885%"
09/05/2025,"3.959%","3.973%","3.891%","3.917%"
09/04/2025,"3.962%","3.991%","3.925%","3.959%"
09/03/2025,"4.006%","4.052%","3.921%","3.962%"
09/02/2025,"3.963%","4.047%","3.963%","4.006%"
09/01/2025,"3.956%","3.986%","3.936%","3.963%"
08/29/2025,"3.956%","4.000%","3.949%","3.956%"
08/28/2025,"3.969%","3.978%","3.923%","3.956%"
08/27/2025,"3.979%","4.009%","3.949%","3.969%"
08/26/2025,"3.949%","4.023%","3.949%","3.979%"
08/24/2025,"3.949%","3.949%","3.949%","3.949%"
08/22/2025,"3.967%","4.041%","3.935%","3.949%"
08/21/2025,"3.909%","4.007%","3.909%","3.967%"
08/20/2025,"3.981%","4.003%","3.907%","3.909%"
08/19/2025,"3.972%","4.003%","3.948%","3.981%"
08/18/2025,"3.946%","4.011%","3.901%","3.972%"
08/15/2025,"3.915%","3.971%","3.911%","3.946%"
08/14/2025,"3.872%","3.927%","3.850%","3.915%"
08/13/2025,"3.899%","3.899%","3.847%","3.872%"
08/12/2025,"3.873%","3.933%","3.873%","3.899%"
08/11/2025,"3.918%","3.918%","3.847%","3.873%"
08/08/2025,"3.884%","3.931%","3.882%","3.918%"
08/07/2025,"3.837%","3.917%","3.819%","3.884%"
08/06/2025,"3.828%","3.888%","3.803%","3.837%"
08/05/2025,"3.793%","3.863%","3.788%","3.828%"
08/04/2025,"3.796%","3.836%","3.767%","3.793%"
08/01/2025,"3.886%","3.935%","3.779%","3.796%"
07/31/2025,"3.888%","3.909%","3.851%","3.886%"
07/30/2025,"3.905%","3.910%","3.841%","3.888%"
07/29/2025,"3.918%","3.957%","3.864%","3.905%"
07/28/2025,"3.881%","3.939%","3.850%","3.918%"
07/25/2025,"3.873%","3.918%","3.868%","3.881%"
07/24/2025,"3.908%","3.932%","3.859%","3.873%"
07/23/2025,"3.849%","3.915%","3.849%","3.908%"
07/22/2025,"3.845%","3.924%","3.817%","3.849%"
07/21/2025,"3.916%","3.916%","3.841%","3.845%"
07/18/2025,"3.912%","3.938%","3.896%","3.916%"
07/17/2025,"3.878%","3.922%","3.868%","3.912%"
07/16/2025,"3.838%","3.919%","3.826%","3.878%"
07/15/2025,"3.832%","3.893%","3.777%","3.838%"
07/14/2025,"3.879%","3.879%","3.817%","3.832%"
07/11/2025,"3.884%","3.908%","3.846%","3.879%"
07/10/2025,"3.866%","3.909%","3.847%","3.884%"
07/09/2025,"3.881%","3.915%","3.855%","3.866%"
07/08/2025,"3.870%","3.927%","3.827%","3.881%"
07/07/2025,"3.872%","3.903%","3.819%","3.870%"
07/04/2025,"3.846%","3.885%","3.815%","3.872%"
07/03/2025,"3.892%","3.897%","3.767%","3.846%"
07/02/2025,"3.847%","4.069%","3.813%","3.892%"
07/01/2025,"3.824%","3.857%","3.759%","3.847%"
06/30/2025,"3.849%","3.866%","3.795%","3.824%"
06/27/2025,"3.827%","3.867%","3.821%","3.849%"
06/26/2025,"3.864%","3.869%","3.813%","3.827%"
06/25/2025,"3.878%","3.894%","3.838%","3.864%"
06/24/2025,"3.890%","3.945%","3.852%","3.878%"
06/23/2025,"3.925%","3.957%","3.867%","3.890%"
06/20/2025,"3.910%","3.955%","3.884%","3.925%"
06/19/2025,"3.901%","3.950%","3.871%","3.910%"
06/18/2025,"3.949%","3.949%","3.866%","3.901%"
06/17/2025,"3.920%","3.961%","3.874%","3.949%"
06/16/2025,"3.964%","3.987%","3.905%","3.920%"
06/13/2025,"3.875%","3.978%","3.875%","3.964%"
06/12/2025,"3.910%","3.918%","3.848%","3.875%"
06/11/2025,"3.913%","3.981%","3.888%","3.910%"
06/10/2025,"4.011%","4.011%","3.893%","3.913%"
06/09/2025,"4.021%","4.074%","3.968%","4.011%"
06/06/2025,"4.037%","4.084%","3.976%","4.021%"
06/05/2025,"4.025%","4.060%","3.957%","4.037%"
06/04/2025,"4.050%","4.062%","3.976%","4.025%"
06/03/2025,"4.037%","4.058%","3.959%","4.050%"
06/02/2025,"4.023%","4.087%","4.003%","4.037%"
05/30/2025,"4.006%","4.064%","3.991%","4.023%"
